docset_id,doc_id,date,sentence_count_in_doc,sentence_id,F_lengthEq1,F_lengthEq2,F_lengthEq3,F_PROPN,F_Phrases_ADJP,F_Phrases_NP,F_Phrases_PP,F_Phrases_VP,F_PositionEq1,F_PositionEq2,F_PositionEq3,F_SentenceSimBusyPath,F_SentenceSimEq1_CosineSim,F_SentenceSimEq1_JaccardSim,F_SentenceSimEq2,F_SentenceSimEq3,F_SentenceSimEq1_2Grams,F_SentenceSimEq1_3Grams,F_SentenceSimEq1_4Grams,F_TF-ISF,F_TF-ISF_2Grams,F_TF-ISF_3Grams,F_TF-ISF_4Grams,F_TermFreqEq1,F_TermFreqEq2,F_TitleEq1,F_TitleEq2,_BELONGS_SUMMARY
d063j,AP890925-0124,1989-09-25,14,1,1.9620253164556962,0.8064516129032258,2.3789416668747663,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,1.0,1.0,1.0,30,0.7447409100282625,0.6437105809418131,0.022660098522167486,8.723939165420987,0.722898842790397,0.6055315581214167,0.43472030644241433,0.9231546091215405,0.8676950470917595,0.864181691443676,0.8599838000656095,465,0.00588607594936709,0.5714285714285714,0.14285714285714285,1
d063j,AP890925-0124,1989-09-25,14,2,2.19746835443038,0.9032258064516129,2.3337555423188165,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,0.8,0.9285714285714286,0.9230769230769231,10,0.5240622320405165,0.6214141245699398,0.02167487684729064,5.842580009554371,0.3080697001334766,0.33333333333333326,0.33333333333333326,0.9142560779955414,0.9136632823314834,0.9082082152680255,0.9034576689743842,473,0.005345840867992768,0.14285714285714285,0.030303030303030304,0
d063j,AP890925-0124,1989-09-25,14,3,1.2556962025316456,0.5161290322580645,2.5034057202112385,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,0.6,0.8571428571428572,0.8461538461538461,14,0.5344960461958126,0.6706716190863465,0.012807881773399015,5.978812318996802,0.24411269209970785,0.33333333333333326,0.3333333333333334,0.7147449432824144,0.6729246808712082,0.6560125246472709,0.6388410442467783,349,0.006902689873417722,0.0,0.0,0
d063j,AP890925-0124,1989-09-25,14,4,0.549367088607595,0.22580645161290322,2.470574007799228,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,0.4,0.7857142857142857,0.7692307692307692,13,0.299404768239011,0.6071619027258112,0.006896551724137931,2.909270610745188,0.24411269209970768,0.3333333333333333,0.3333333333333334,0.4350011300580186,0.37327145252405874,0.32800626232363544,0.2724027365415588,197,0.008905967450271248,0.0,0.0,0
d063j,AP890925-0124,1989-09-25,14,5,2.1189873417721516,0.8709677419354839,2.3490455748893013,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,0.2,0.7142857142857143,0.6923076923076923,6,0.3115789850491591,0.4124609819195885,0.017733990147783252,3.0682270237130655,0.3180048109303421,0.33333333333333315,0.33333333333333365,0.9159433336903245,0.8938660202752357,0.8882451573594367,0.8826857505312772,316,0.003703703703703704,0.14285714285714285,0.03125,0
d063j,AP890925-0124,1989-09-25,14,6,1.2556962025316456,0.5161290322580645,2.5034057202112385,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,0,0.6428571428571428,0.6153846153846154,17,0.6595800524361802,0.38086466375357897,0.014778325123152709,7.612010188041374,0.7852449981022235,0.7333457358997927,0.672544460558266,0.7385130300409172,0.7199956087080701,0.7074671491161286,0.6935427907428039,222,0.004390822784810127,0.14285714285714285,0.047619047619047616,0
d063j,AP890925-0124,1989-09-25,14,7,1.09873417721519,0.45161290322580644,2.5290799645299042,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,0,0,0.5384615384615384,6,0.3992577191684697,0.6187630408476585,0.012807881773399015,4.213031431792303,0.2645218731677919,0.3333333333333335,0.3333333333333334,0.6665548825040187,0.6188751669176686,0.5988547629253733,0.5778534666669262,295,0.006668173598553346,0.0,0.0,0
d063j,AP890925-0124,1989-09-25,14,8,1.020253164556962,0.41935483870967744,2.541674056721718,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,0,0.5714285714285714,0.46153846153846156,8,0.2444537990885629,0.4498622530317536,0.008866995073891626,2.1917863502396053,0.2645218731677919,0.3333333333333333,0.3333333333333334,0.6474607202008122,0.5900635059832142,0.5681235115453016,0.5448054730831176,203,0.004941577409931841,0.0,0.0,0
d063j,AP890925-0124,1989-09-25,14,9,1.5696202531645569,0.6451612903225806,2.449990878978956,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,0,0.6428571428571429,0.3846153846153846,11,0.445229984400853,0.5113282422086166,0.014778325123152709,4.81328247802438,0.2982307360019832,0.33333333333333326,0.3333333333333333,0.8186595324625932,0.7682804959138557,0.7574980153937355,0.7460056176497423,306,0.004841772151898735,0.0,0.0,0
d063j,AP890925-0124,1989-09-25,14,10,1.1772151898734178,0.4838709677419355,2.516325235960312,0.25,0.0,0.47368421052631576,0.5,0.2857142857142857,0,0.7142857142857143,0.3076923076923077,4,0.23058725061264956,0.1753803427785051,0.009852216748768473,2.010733487427187,0.2613281305278449,0.3333333333333335,0.3333333333333333,0.7055416993193938,0.6982136101489076,0.6827994838910811,0.6672477090646166,98,0.0020675105485232067,0.14285714285714285,0.05,0
